REF	COMMENT	DESCRIPTION
D1043	2 PODL.AUTO MIN	
D1044	3 PODL.AUTO GODZ	
D1045	3 PODL.AUTO MIN	
D1046	4 PODL.AUTO GODZ	
D1047	4 PODL.AUTO MIN	
D1060	PODL. CZAS 1 SEK	
D1062	PODL. CZAS 2 SEK	
D1064	PODL. CZAS 3 SEK	
D1066	PODL. CZAS 4 SEK	
D1068	PODL. CZAS 5 SEK	
D1070	CZAS PRACY PDLEW	
D1072	ODLICZANIE PODL.	
D1200	godzina START	
D1201	minuta START	
D1202	godzina STOP	
D1203	minuta STOP	
D1204	godzina START	
D1206	GODZINA STOP	
D1207	MINUTA STOP	
D1208	GODZINA START	
D1209	MINUTA START	
D1210	GODZINA STOP	
D1211	MINUTA STOP	
D1700	GODZINA START	
D1701	MINUTA START	
D1702	SEKUNDA START	
D1796	H. ROZM SCHOD	
D1797	M. ROZM SCHOD	
D1798	MIN  ON	
D1799	SEC	
D1800	SEC	
D1801	PROG TEMP	
D1802	T SCH MIN	
D1803	T SCH W SEC	
D2000	ON/STANDBY	
D2001	ON/STANDBY SET	
D2002	ON/OFF	
D2003	ON/OFF SET	
D2004	BIEG	
D2005	BIEG SET	
D2100	ND 1start odczyt	
D2101	Pon sek zadaj	
D2102	ND 1stop zapis	
D2103	Pon sek zadaj	
D2104	ND 1stop odczyt	
D2106	ND 2stop zapis	
D2201	min start pon	
D2202	h stop pon	
D2300	read pon1	
D2301	write pon1	
D2302	read pon2	
D3400	MOCE DATA SAMPL.	
D3440	SEK_PANEL	
D3441	MIN_PANEL	
D3442	GODZ_PANEL	
D3443	DZIEN_PANEL	
D3444	MIES_PANEL	
D3445	ROK_PANEL	
D3470	CENT TRYB TEMP	
D3476	SR_TEMP_PLC	
D3478	SR_TEMP_PANEL	
D3480	SR TEMP_PROB	
D3482	SR TEMP ZADANA	
D3485	OKRES POMIAROW	
D3486	LICZBA PROBEK	
D3487	LICZNIK POMIAROW	
D3488	SUMA TEMP_L	
D3490	CENTRALA MOC WEN	
D3491	CENTRALA TRYB	
D3492	CENTRALA PANEL	
D3500	OutdoorAirTempe	
D3502	RoomAirTemperat	
D3504	SupplyAirTemper	
D3506	Anti-freezing Te	
D3508	Anti-freezingTe	
D3510	ReturnWaterTemp	
D3512	SupplyPressure,	
D3514	ExhaustPressure	
D3516	SupplyFanContro	
